time,rate
0,0
31,3075.68
59,3437.14
90.04166667,3606.42
120.0416667,3858.87
151.0416667,3767.68
181.0416667,3785.13
212.0416667,3836.97
243.0416667,4104.87
273.0416667,4015.8
304,4157.26
334,3879.53
365,3743.81
396,3563.81
425,3443.41
456.0416667,3211.77
486.0416667,3003.93
517.0416667,2901.77
547.0416667,2824.4
578.0416667,2894.06
609.0416667,2945.58
639.0416667,2862.43
670,2847.65
700,3166.73
731,2911.71
762,3138.26
790,3066
821.0416667,3237.32
851.0416667,3792.87
882.0416667,3936.39
912.0416667,4172.47
943.0416667,4023.58
974.0416667,4366.32
1004.041667,4328.07
1035,4248.29
1065,4180.37
1096,4079.03
1127,4097
1155,4441.93
1186.041667,4184.52
1216.041667,4080.17
1247.041667,4144.06
1277.041667,4253.7
1308.041667,4390.26
1339.041667,4309.77
1369.041667,4195
1400,4368.45
1430,4303.8
1461,4329.77
1492,4336.55
1520,4275.96
1551.041667,4470.32
1581.041667,4635.17
1612.041667,4608.52
1642.041667,4504.2
1673.041667,4537.97
1704.041667,4617.97
1734.041667,4630.97
1765,4544.35
1795,4475.03
1826,4468.81
1857,4120.45
1886,4289.07
1917.041667,4622.74
1947.041667,4411.7
1978.041667,4675.65
2008.041667,4416.87
2039.041667,4323.23
2070.041667,4303.29
2100.041667,4165.07
2131,4255.87
2161,4280.87
2192,4334.68
2223,4076.26
2251,4370.11
2282.041667,4514.81
2312.041667,4650.6
2343.041667,4783
2373.041667,4766.77
2404.041667,4676
2435.041667,4836.9
2465.041667,4982.8
2496,4915.23
2526,4777.27
2557,4748.84
2588,4720.19
2616,5101.11
2647.041667,5212.36
2677.041667,5372.83
2708.041667,5405.71
2738.041667,5165.3
2769.041667,5319.23
2800.041667,5416.58
2830.041667,5475.03
2861,5761.58
2891,5778.87
2922,5832.97
2953,6025.77
2981,6195.86
3012.041667,6479.03
3042.041667,6758.77
3073.041667,6803.16
3103.041667,6992.77
3134.041667,7501.48
3165.041667,8045.9
3195.041667,7879.63
3226,8301.52
3256,8558.27
3287,7935.1
3318,8412.03
3347,9150.38
3378.041667,9310.32
3408.041667,9462.6
3439.041667,9722.9
3469.041667,9981.17
3500.041667,9419.26
3531.041667,10104.6
3561.041667,9876.87
3592,10458
3622,10578.6
3653,10530.3
3684,10455.3
3712,10563.8
3743.041667,10847.6
3773.041667,10716.6
3804.041667,10967.1
3834.041667,10884.4
3865.041667,11035
3896.041667,12029.7
3926.041667,12214.5
3957,12047.7
3987,11826.2
4018,11607.4
4049,11563.6
4077,11232.5
4108.041667,10916.8
4138.041667,11091.4
4169.041667,11094
4199.041667,10984.2
4230.041667,11180.1
4261.041667,11444.4
4291.041667,11720.6
4322,11522.5
4352,11552.1
4383,10942.1
4414,10561.3
4442,11308.7
4473.041667,11431.3
4503.041667,11393
4534.041667,11155.1
4564.041667,10967.5
4595.041667,10830.9
4626.041667,10874.5
4656.041667,10936.1
4687,10486.9
4717,10759.8
4748,10261
4779,10440.8
4808,10443.1
4839.041667,10108.8
4869.041667,10121.4
4900.041667,10151.2
4930.041667,9855.4
4961.041667,10118
4992.041667,9827.39
5022.041667,9492
5053,9503.74
5083,9164.1
5114,8908.65
5145,8817.74
5173,8618.04
5204.041667,8556.06
5234.041667,8668.47
5265.041667,8665.06
5295.041667,8294
5326.041667,8536.52
5357.041667,8580.19
5387.041667,8565.4
5418,8587.45
5448,8277.73
5479,8229.52
5510,7624.16
5538,8187.18
5569.041667,7901.36
5599.041667,7765.07
5630.041667,7708.61
5660.041667,7663.87
5691.041667,7607.74
5722.041667,7567.68
5752.041667,7509.9
5783,7502.87
5813,7466.07
5844,7287.9
5875,7368.29
5903,7325.79
5934.041667,7372.97
5964.041667,7264.07
5995.041667,6927.32
6025.041667,6857.93
6056.041667,6907.97
6087.041667,6909.58
6117.041667,6798.3
6148,7010.06
6178,7217.87
6209,7313.42
6240,7663.1
6269,7390.41
6300.041667,7297.19
6330.041667,7357.33
6361.041667,7336.48
6391.041667,7289.83
6422.041667,7052.52
6453.041667,7123.45
6483.041667,7112.87
6514,7286.23
6544,7332.63
6575,7198.94
6606,7133.61
6634,6640.29
6665.041667,7035.45
6695.041667,7173.53
6726.041667,7470.32
6756.041667,7766
6787.041667,7612.94
6818.041667,7494
6848.041667,7513.27
6879,7595.45
6909,7439.07
6940,7672.68
6971,7490.68
6999,7528.5
7030.041667,7380.52
7060.041667,7457.7
7091.041667,6885.29
7121.041667,7050.4
7152.041667,7111.61
7183.041667,7501.52
7213.041667,7065.3
7244,7010.36
7274,7026
7305,7013.39
7336,6906.36
7364,6943.89
7395.041667,7014.29
7425.041667,6817.83
7456.041667,6623.39
7486.041667,6623.67
7517.041667,6614.32
7548.041667,6471.71
7578.041667,6500.37
7609,6636.45
7639,6486.13
7670,6427.36
7701,6381.94
7730,6292.14
7761.041667,6214.23
7791.041667,6192.63
7822.041667,6157.81
7852.041667,6241.9
7883.041667,6137.32
